-3.14159 9.95 -3.85  4.25 1.85
-2.74889 9.58462 -3.69776  3.88462 2.00224
-2.35619 8.54411 -3.26421  2.84411 2.43579
-1.9635 6.98688 -2.61537  1.28688 3.08463
-1.5708 5.15 -1.85  -0.55 3.85
-1.1781 3.31312 -1.08463  -2.38688 4.61537
-0.785398 1.75589 -0.435786  -3.94411 5.26421
-0.392699 0.715378 -0.00224093  -4.98462 5.69776
0 0.35 0.15  -5.35 5.85
0.392699 0.715378 -0.00224093  -4.98462 5.69776
0.785398 1.75589 -0.435786  -3.94411 5.26421
1.1781 3.31312 -1.08463  -2.38688 4.61537
1.5708 5.15 -1.85  -0.55 3.85
1.9635 6.98688 -2.61537  1.28688 3.08463
2.35619 8.54411 -3.26421  2.84411 2.43579
2.74889 9.58462 -3.69776  3.88462 2.00224
